Id,Label,Type,Broadcaster_type,Views
450878694,corvqy,,,0
536561629,johnnypro68,,,1
536582211,hauxy5377,,,0
536570809,frosty_txn,,,0
469361643,xOscarGlez,,affiliate,689
528422368,camurcazz,,,0
514548586,janice_middleton,,,0
536588667,akramdoppial,,,0
441634598,Willuk,,,18
536588767,sweetpie_4,,,0
437903587,fruztrated,,,27
536587070,khuuna1,,,0
536587003,clappyylol,,,0
498607037,davide10572,,,0
404221935,siad,,,2
536580412,zentiywkeys,,,0
416242622,yui_btw,,,162
534910773,yonik00,,,1
509287479,idontcareatallididntask,,,0
509914962,easy1v1,,,0
38594688,Fresh,,partner,28616526
195007466,ThomeFN,,affiliate,569008
450775736,stevewillsendit,,affiliate,166392
448765053,FurioussFN,,,85306
432841639,psychoislive,,affiliate,260406
238361285,ItsYungBullz,,affiliate,158396
91957114,gucciiyo,,affiliate,13506
479702406,trisskers,,affiliate,10035
142073418,dereknlmb,,partner,277260
480451648,BSTYuli,,affiliate,21410
212744599,Co1azo,,partner,1009815
405008403,UnknownxArmy,,partner,7702434
218771156,uhzur,,affiliate,6021
279924490,uhslayte,,affiliate,2780
195305446,KingSnags,,affiliate,1688
194863688,herrioo,,affiliate,1906
181869336,nickkaustin,,partner,16196
25085210,b_vannessa,,partner,611858
66272442,Nikolarn,,partner,3588352
218798916,ImSpeedyGonzalez,,partner,92346
91926374,xopsvenom,,,209
409106951,xyciu,,,19
179141243,k0vin,,,11
194612875,realchr1sti9n,,,0
221440988,keval2121,,,0
215235360,cbo_kola,,,74
66052797,Grasmussen13,,,1
194392609,ansmn1974,,,205
68445570,MasterBuck,,,163
240966526,ac_unlucky,,,25
117917255,turtlepower70,,,2
134530463,prismKite,,,79
413324304,exe_impulse,,,0
536590324,breslowb,,,1
434641798,rittekk,,,1
122723016,20onthedub,,,3
190861589,slingabat253,,,1
464482749,esiarte,,,1
425845761,sahafabbas,,,0
532765538,babybojanbogdanovic,,,0
439999670,OG_Freshavocado,,affiliate,3509
516274043,boltamputated,,affiliate,2441
105533253,broxh_,,partner,940736
57717183,Mendo,,partner,13166424
174809651,landonorris,,partner,10301576
29829912,DrLupo,,partner,112800545
22058560,s_w_a_y_y,,,899
137875140,Getlowe,,affiliate,38079
201268782,thedapperrapper,,partner,424996
12943173,pokelawls,,partner,22329022
10397006,JERICHO,,partner,35871973
37853510,Hitchariide,,partner,3480443
95873995,Ramee,,partner,6615913
4331474,Naded,,partner,6585415
10996328,LxthuL,,partner,1604902
81463115,Kotton,,partner,12010742
74508733,DottyHack,,partner,593825
106013742,Pestily,,partner,21243069
39205266,Laski,,partner,4205569
163836275,Lord_Kebun,,partner,29094992
90846558,Golddudee,,,3
454689632,axelanderson,,,1
83205928,secretlystashed,,,326
530866341,ratofolis2,,,0
77716027,Joey_Ali_96,,,197
101251489,sm0shiidoodles,,,104
521810803,gustavojony,,,7
532291011,staggersz,,,0
491551820,YoungLuga,,,138
219141612,broxdecker,,,0
526854480,garabandal,,,0
536587130,Necrocabra,,,0
232037570,dustmaker22,,,23
467027058,POSSIBLYSKY,,affiliate,1954
231571784,sebastianpenalesph,,,72
162956682,Bowtie_Ninja,,,4
131536685,TheMochaOtaku,,affiliate,5183
535716701,flavioportugal_9,,,0
67233148,einhander85,,,0
100670930,gh0stjedi,,,2
43096342,XiBassiX,,partner,107658
13016632,RayRay19wun,,partner,243152
44019353,nickyfgc,,affiliate,22548
12691278,IFCYipeS,,partner,1381637
31986378,HurtboxTV,,affiliate,20466
442552530,KAISERWAVE,,,24539
1527327,Sajam,,partner,1273623
17118622,banehollow3789,,affiliate,21397
24807987,game_versus,,,1134690
3713327,Bum1six3,,partner,2830095
12743164,DashXero,,affiliate,2985
62509474,REO_MK,,partner,1018832
68485910,AustinCreed,,partner,240177
30734610,tatsunical,,partner,425064
14891712,CarcinogenSDA,,partner,7387124
24565008,SonicFox,,partner,2319141
8957332,SandyRavage,,partner,7526842
142132586,WoolieVersus,,partner,550347
27481628,FgtvLive,,partner,10509186
136075396,linkorz_,,affiliate,21446
536217465,nether_steam,,,0
536590909,kokum_blog74,,,0
536590661,bot_freshy,,,0
437352876,addypad,,,0
532445156,croftyjc,,,0
475160978,aria_case,,,0
192595163,n1crose,,,2
536171171,aimanlegendarian,,,0
536591502,xmohali2009x,,,0
536569290,axolotlz78,,,0
536551976,ogbsteezzy,,,0
489869316,candy_canes245,,,0
414987983,leo_lufii,,,0
491820761,jackattack00007,,,0
536590440,fortnitegamer_66,,,0
536591375,mastergamerrr101,,,0
451153681,mad_mason3003,,,0
270625905,brainlag23,,,19
536591485,itzzzzriley,,,0
430624654,sammy13111,,,0
97795247,LGLOYAL,,,4979222
132691423,NicoleThePeach,,affiliate,10670
124845670,8ayley,,affiliate,30687
