Source,Target,Type,Weight
450878694,233300375,Directed,0.2
536561629,233300375,Directed,0.2
536582211,233300375,Directed,0.2
536570809,233300375,Directed,0.2
469361643,233300375,Directed,0.2
528422368,233300375,Directed,0.2
514548586,233300375,Directed,0.2
536588667,233300375,Directed,0.2
441634598,233300375,Directed,0.2
536588767,233300375,Directed,0.2
437903587,233300375,Directed,0.2
536587070,233300375,Directed,0.2
536587003,233300375,Directed,0.2
498607037,233300375,Directed,0.2
404221935,233300375,Directed,0.2
536580412,233300375,Directed,0.2
416242622,233300375,Directed,0.2
534910773,233300375,Directed,0.2
509287479,233300375,Directed,0.2
509914962,233300375,Directed,0.2
233300375,38594688,Directed,0.2
233300375,195007466,Directed,0.2
233300375,450775736,Directed,0.2
233300375,448765053,Directed,0.2
233300375,432841639,Directed,0.2
233300375,238361285,Directed,0.2
233300375,91957114,Directed,0.2
233300375,479702406,Directed,0.2
233300375,142073418,Directed,0.2
233300375,480451648,Directed,0.2
233300375,212744599,Directed,0.2
233300375,405008403,Directed,0.2
233300375,218771156,Directed,0.2
233300375,279924490,Directed,0.2
233300375,195305446,Directed,0.2
233300375,194863688,Directed,0.2
233300375,181869336,Directed,0.2
233300375,25085210,Directed,0.2
233300375,66272442,Directed,0.2
233300375,218798916,Directed,0.2
536217465,38594688,Directed,0.2
536590909,38594688,Directed,0.2
536590661,38594688,Directed,0.2
437352876,38594688,Directed,0.2
532445156,38594688,Directed,0.2
475160978,38594688,Directed,0.2
192595163,38594688,Directed,0.2
536171171,38594688,Directed,0.2
536591502,38594688,Directed,0.2
536569290,38594688,Directed,0.2
536551976,38594688,Directed,0.2
489869316,38594688,Directed,0.2
414987983,38594688,Directed,0.2
491820761,38594688,Directed,0.2
536590440,38594688,Directed,0.2
536591375,38594688,Directed,0.2
451153681,38594688,Directed,0.2
270625905,38594688,Directed,0.2
536591485,38594688,Directed,0.2
430624654,38594688,Directed,0.2
38594688,97795247,Directed,0.2
38594688,132691423,Directed,0.2
38594688,124845670,Directed,0.2
38594688,207450855,Directed,0.2
38594688,218388240,Directed,0.2
38594688,181258781,Directed,0.2
38594688,129223463,Directed,0.2
38594688,257601182,Directed,0.2
38594688,44424631,Directed,0.2
38594688,224539819,Directed,0.2
38594688,233300375,Directed,0.2
38594688,120244187,Directed,0.2
38594688,82524912,Directed,0.2
38594688,207232447,Directed,0.2
38594688,262213859,Directed,0.2
38594688,179896802,Directed,0.2
38594688,26862741,Directed,0.2
38594688,264656158,Directed,0.2
38594688,454089473,Directed,0.2
38594688,66983298,Directed,0.2
Source,Target,Type,Weight
450878694,233300375,Directed,0.2
536561629,233300375,Directed,0.2
536582211,233300375,Directed,0.2
536570809,233300375,Directed,0.2
469361643,233300375,Directed,0.2
528422368,233300375,Directed,0.2
514548586,233300375,Directed,0.2
536588667,233300375,Directed,0.2
441634598,233300375,Directed,0.2
536588767,233300375,Directed,0.2
437903587,233300375,Directed,0.2
536587070,233300375,Directed,0.2
536587003,233300375,Directed,0.2
498607037,233300375,Directed,0.2
404221935,233300375,Directed,0.2
536580412,233300375,Directed,0.2
416242622,233300375,Directed,0.2
534910773,233300375,Directed,0.2
509287479,233300375,Directed,0.2
509914962,233300375,Directed,0.2
233300375,38594688,Directed,0.2
233300375,195007466,Directed,0.2
233300375,450775736,Directed,0.2
233300375,448765053,Directed,0.2
233300375,432841639,Directed,0.2
233300375,238361285,Directed,0.2
233300375,91957114,Directed,0.2
233300375,479702406,Directed,0.2
233300375,142073418,Directed,0.2
233300375,480451648,Directed,0.2
233300375,212744599,Directed,0.2
233300375,405008403,Directed,0.2
233300375,218771156,Directed,0.2
233300375,279924490,Directed,0.2
233300375,195305446,Directed,0.2
233300375,194863688,Directed,0.2
233300375,181869336,Directed,0.2
233300375,25085210,Directed,0.2
233300375,66272442,Directed,0.2
233300375,218798916,Directed,0.2
536217465,38594688,Directed,0.2
536590909,38594688,Directed,0.2
536590661,38594688,Directed,0.2
437352876,38594688,Directed,0.2
532445156,38594688,Directed,0.2
475160978,38594688,Directed,0.2
192595163,38594688,Directed,0.2
536171171,38594688,Directed,0.2
536591502,38594688,Directed,0.2
536569290,38594688,Directed,0.2
536551976,38594688,Directed,0.2
489869316,38594688,Directed,0.2
414987983,38594688,Directed,0.2
491820761,38594688,Directed,0.2
536590440,38594688,Directed,0.2
536591375,38594688,Directed,0.2
451153681,38594688,Directed,0.2
270625905,38594688,Directed,0.2
536591485,38594688,Directed,0.2
430624654,38594688,Directed,0.2
38594688,97795247,Directed,0.2
38594688,132691423,Directed,0.2
38594688,124845670,Directed,0.2
38594688,207450855,Directed,0.2
38594688,218388240,Directed,0.2
38594688,181258781,Directed,0.2
38594688,129223463,Directed,0.2
38594688,257601182,Directed,0.2
38594688,44424631,Directed,0.2
38594688,224539819,Directed,0.2
38594688,233300375,Directed,0.2
38594688,120244187,Directed,0.2
38594688,82524912,Directed,0.2
38594688,207232447,Directed,0.2
38594688,262213859,Directed,0.2
38594688,179896802,Directed,0.2
38594688,26862741,Directed,0.2
38594688,264656158,Directed,0.2
38594688,454089473,Directed,0.2
38594688,66983298,Directed,0.2
